,date,temperature_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration,soil_moisture_0_to_100cm_mean,wet_bulb_temperature_2m_mean
346,2018-12-13,4.95,-0.45000002,0.5330342,0.3371633,0.7633586
347,2018-12-14,3.85,-1.6291666,0.34620598,0.3362883,-0.31237087
348,2018-12-15,7.4,-0.73958325,0.5714169,0.3386308,0.82642365
349,2018-12-16,8.5,4.5854163,0.34108752,0.34530917,5.0748105
350,2018-12-17,9.2,4.9145837,0.36886966,0.34774622,5.4008565
351,2018-12-18,9.65,6.6416664,0.58442396,0.3487096,7.421631
352,2018-12-19,9.35,5.6687503,0.4288453,0.35295376,6.2652035
353,2018-12-20,9.7,5.4,0.53142315,0.35292375,6.176243
354,2018-12-21,13.0,7.9145846,0.89104295,0.35606125,8.97045
355,2018-12-22,11.1,6.5166664,0.5585903,0.356485,7.236587
356,2018-12-23,12.85,7.922916,0.27966177,0.36003956,8.228098
357,2018-12-24,7.35,3.05,0.2822687,0.36389792,3.269832
358,2018-12-25,8.5,3.197917,0.2922227,0.36364377,3.6235468
359,2018-12-26,9.55,5.808334,0.2797883,0.3633467,6.1790047
360,2018-12-27,5.4,2.8895833,0.19920118,0.3633262,2.872658
361,2018-12-28,9.1,5.339583,0.27248633,0.36325455,5.5564466
362,2018-12-29,11.85,7.3958335,0.28556195,0.36404958,7.665997
363,2018-12-30,11.0,7.274999,0.25374207,0.36450705,7.4617295
364,2018-12-31,9.65,5.9916673,0.34390038,0.364205,6.346981
365,2019-01-01,10.6,4.7520843,0.48233023,0.36339414,5.51195
366,2019-01-02,5.85,0.71250004,0.3924328,0.36284876,1.9586309
367,2019-01-03,5.1,-0.12916665,0.3201698,0.36186746,0.72533065
368,2019-01-04,3.0,-2.0854166,0.3138857,0.3618896,-1.4700661
369,2019-01-05,4.45,0.23333327,0.34343508,0.36209676,0.8603154
370,2019-01-06,8.3,3.435417,0.2791596,0.36183786,3.9544706
371,2019-01-07,10.0,5.46875,0.42501447,0.36088505,5.888521
372,2019-01-08,8.7,2.2895834,0.792604,0.36008176,3.7264853
373,2019-01-09,5.45,0.35208333,0.647244,0.35948384,1.7956047
374,2019-01-10,5.1,0.97499996,0.25585234,0.35893545,1.5492469
375,2019-01-11,7.8,3.539584,0.33513945,0.3581222,3.9601057
376,2019-01-12,9.4,5.3416667,0.41215795,0.35903046,5.9388814
377,2019-01-13,10.85,6.3104153,0.9864695,0.35941413,7.503198
378,2019-01-14,8.85,3.0166667,0.8123688,0.3593763,4.609317
379,2019-01-15,9.05,3.91875,0.52459025,0.35816327,4.6064725
380,2019-01-16,9.05,5.135417,0.47427544,0.3578408,5.761392
381,2019-01-17,4.25,-1.00625,0.63839394,0.35914668,0.51020074
382,2019-01-18,6.1,-1.6020833,0.5105419,0.35861588,-0.36619917
